time[ISO-UTC],xPos[m],yPos[m],Latitude[deg],Longitude[deg],speed[km/h],hr[bpm],numSatFix[-],hdop[-]
20200203T133457000,-167.452369,-6.188517,47.030060,8.287661,0.951840,NaN,NaN,NaN
20200203T133457100,-167.657626,-6.377517,47.030059,8.287658,1.994040,NaN,NaN,NaN
20200203T133457200,-167.931299,-6.555397,47.030057,8.287655,3.187440,NaN,NaN,NaN
20200203T133457300,-168.068140,-6.833342,47.030055,8.287653,4.234320,NaN,NaN,NaN
20200203T133457400,-168.189777,-7.055698,47.030053,8.287651,5.166720,NaN,NaN,NaN
20200203T133457500,-168.379831,-7.300288,47.030050,8.287649,6.188760,NaN,NaN,NaN
20200203T133457600,-168.493866,-7.544880,47.030048,8.287647,7.194240,NaN,NaN,NaN
20200203T133457700,-168.607902,-7.833944,47.030046,8.287646,8.183520,NaN,NaN,NaN
20200203T133457800,-168.759946,-8.056299,47.030044,8.287644,9.159840,NaN,NaN,NaN
20200203T133457900,-168.988010,-8.323124,47.030041,8.287641,10.287000,NaN,NaN,NaN
20200203T133458000,-169.223677,-8.589949,47.030039,8.287638,10.427040,NaN,NaN,NaN
20200203T133458100,-169.406129,-8.834539,47.030037,8.287635,10.433160,NaN,NaN,NaN
20200203T133458200,-169.580978,-9.045775,47.030035,8.287633,10.282680,NaN,NaN,NaN
20200203T133458300,-169.755829,-9.301484,47.030032,8.287631,10.337760,NaN,NaN,NaN
20200203T133458400,-169.900272,-9.546075,47.030030,8.287629,10.419120,NaN,NaN,NaN
20200203T133458500,-169.976295,-9.712842,47.030029,8.287628,10.267200,NaN,NaN,NaN
20200203T133458600,-170.181552,-9.924078,47.030027,8.287625,10.322280,NaN,NaN,NaN
20200203T133458700,-170.348800,-10.146432,47.030025,8.287623,10.358640,NaN,NaN,NaN
20200203T133458800,-170.516049,-10.391023,47.030023,8.287621,10.284480,NaN,NaN,NaN
20200203T133458900,-170.637684,-10.580025,47.030021,8.287619,10.081080,NaN,NaN,NaN
20200203T133459000,-170.804934,-10.846852,47.030019,8.287617,10.095480,NaN,NaN,NaN
20200203T133459100,-170.956978,-11.058089,47.030017,8.287615,10.000080,NaN,NaN,NaN
20200203T133459200,-171.048207,-11.313799,47.030014,8.287614,9.871200,NaN,NaN,NaN
20200203T133459300,-171.131831,-11.413859,47.030013,8.287613,9.534960,NaN,NaN,NaN
20200203T133459400,-171.329486,-11.613976,47.030012,8.287610,9.446040,NaN,NaN,NaN
20200203T133459500,-171.428316,-11.802979,47.030010,8.287609,9.339120,NaN,NaN,NaN
20200203T133459600,-171.542350,-11.991981,47.030008,8.287607,8.999640,NaN,NaN,NaN
20200203T133459700,-171.724800,-12.147628,47.030007,8.287605,8.834400,NaN,NaN,NaN
20200203T133459800,-171.884447,-12.392218,47.030005,8.287603,8.904240,NaN,NaN,NaN
20200203T133459900,-171.998483,-12.659046,47.030002,8.287601,8.878680,NaN,NaN,NaN
20200203T133500000,-172.066904,-12.803578,47.030001,8.287600,8.500320,NaN,NaN,NaN
20200203T133500100,-172.272161,-13.003695,47.029999,8.287598,8.490960,NaN,NaN,NaN
20200203T133500200,-172.424204,-13.181579,47.029998,8.287596,8.429400,NaN,NaN,NaN
20200203T133500300,-172.599053,-13.381697,47.029996,8.287593,8.500320,NaN,NaN,NaN
20200203T133500400,-172.735892,-13.559581,47.029994,8.287592,8.404920,NaN,NaN,NaN
20200203T133500500,-172.887938,-13.815289,47.029992,8.287590,8.666640,NaN,NaN,NaN
20200203T133500600,-173.039983,-14.059880,47.029990,8.287588,8.929080,NaN,NaN,NaN
20200203T133500700,-173.131213,-14.315591,47.029987,8.287586,8.965080,NaN,NaN,NaN
20200203T133500800,-173.245246,-14.493475,47.029986,8.287585,8.854920,NaN,NaN,NaN
20200203T133500900,-173.420095,-14.682476,47.029984,8.287583,8.912880,NaN,NaN,NaN
20200203T133501000,-173.579743,-14.938184,47.029982,8.287581,9.177840,NaN,NaN,NaN
20200203T133501100,-173.716583,-15.160540,47.029980,8.287579,9.191160,NaN,NaN,NaN
20200203T133501200,-173.853424,-15.382895,47.029978,8.287577,9.327240,NaN,NaN,NaN
20200203T133501300,-173.975061,-15.638605,47.029975,8.287575,9.525600,NaN,NaN,NaN
20200203T133501400,-174.081495,-15.894315,47.029973,8.287574,9.686160,NaN,NaN,NaN
20200203T133501500,-174.165122,-16.105554,47.029971,8.287573,9.493200,NaN,NaN,NaN
20200203T133501600,-174.324769,-16.339026,47.029969,8.287571,9.505440,NaN,NaN,NaN
20200203T133501700,-174.476814,-16.594735,47.029967,8.287569,9.673200,NaN,NaN,NaN
20200203T133501800,-174.644063,-16.828208,47.029965,8.287567,9.717120,NaN,NaN,NaN
20200203T133501900,-174.811311,-17.028326,47.029963,8.287564,9.648000,NaN,NaN,NaN
20200203T133502000,-174.948151,-17.239564,47.029961,8.287562,9.615600,NaN,NaN,NaN
20200203T133502100,-175.123003,-17.517508,47.029959,8.287560,9.679680,NaN,NaN,NaN
20200203T133502200,-175.199028,-17.728747,47.029957,8.287559,9.507240,NaN,NaN,NaN
20200203T133502300,-175.267451,-17.939986,47.029955,8.287558,9.326880,NaN,NaN,NaN
20200203T133502400,-175.389089,-18.206814,47.029952,8.287557,9.335520,NaN,NaN,NaN
20200203T133502500,-175.533531,-18.418051,47.029950,8.287555,9.394200,NaN,NaN,NaN
20200203T133502600,-175.662772,-18.684879,47.029948,8.287553,9.329760,NaN,NaN,NaN
20200203T133502700,-175.746398,-18.884999,47.029946,8.287552,9.203040,NaN,NaN,NaN
20200203T133502800,-175.913647,-19.118472,47.029944,8.287550,9.326160,NaN,NaN,NaN
20200203T133502900,-175.966869,-19.407537,47.029942,8.287549,9.347400,NaN,NaN,NaN
20200203T133503000,-176.035292,-19.618777,47.029940,8.287548,9.258840,NaN,NaN,NaN
20200203T133503100,-176.134124,-19.874487,47.029937,8.287547,9.214920,NaN,NaN,NaN
20200203T133503200,-176.240557,-20.074607,47.029936,8.287546,9.292320,NaN,NaN,NaN
20200203T133503300,-176.301378,-20.274729,47.029934,8.287545,9.216360,NaN,NaN,NaN
20200203T133503400,-176.407810,-20.485967,47.029932,8.287543,9.045360,NaN,NaN,NaN
20200203T133503500,-176.423023,-20.786152,47.029929,8.287543,9.169560,NaN,NaN,NaN
20200203T133503600,-176.476244,-21.041863,47.029927,8.287542,9.186480,NaN,NaN,NaN
20200203T133503700,-176.529468,-21.430991,47.029923,8.287542,9.365760,NaN,NaN,NaN
20200203T133503800,-176.635904,-21.742291,47.029921,8.287540,9.539280,NaN,NaN,NaN
20200203T133503900,-176.658718,-22.042475,47.029918,8.287540,9.805680,NaN,NaN,NaN
20200203T133504000,-176.719539,-22.231478,47.029916,8.287539,9.920880,NaN,NaN,NaN
20200203T133504100,-176.765158,-22.487190,47.029914,8.287539,9.874800,NaN,NaN,NaN
