xField[m],yField[m]
110.000000,0.000000
110.000000,72.000000
0.000000,72.000000
0.000000,0.000000
time[ISO-UTC],xPos[m],yPos[m],Latitude[deg],Longitude[deg],speed[km/h],hr[bpm],numSatFix[-],hdop[-]
20200201T180006000,49.703718,25.194778,47.032949,8.305006,0.047880,NaN,NaN,NaN
20200201T180006100,49.683217,25.206263,47.032949,8.305006,0.094320,NaN,NaN,NaN
20200201T180006200,49.670910,25.200791,47.032949,8.305006,0.146880,NaN,NaN,NaN
20200201T180006300,49.661345,25.210272,47.032949,8.305006,0.193320,NaN,NaN,NaN
20200201T180006400,49.653150,25.227230,47.032950,8.305007,0.240840,NaN,NaN,NaN
20200201T180006500,49.655891,25.242184,47.032950,8.305007,0.290520,NaN,NaN,NaN
20200201T180006600,49.643585,25.236712,47.032950,8.305007,0.317520,NaN,NaN,NaN
20200201T180006700,49.655891,25.242184,47.032950,8.305007,0.363960,NaN,NaN,NaN
20200201T180006800,49.676392,25.230699,47.032949,8.305007,0.456480,NaN,NaN,NaN
20200201T180006900,49.721506,25.230158,47.032949,8.305007,0.602280,NaN,NaN,NaN
20200201T180007000,49.744748,25.233626,47.032949,8.305007,0.694080,NaN,NaN,NaN
20200201T180007100,49.791232,25.240562,47.032948,8.305007,0.815760,NaN,NaN,NaN
20200201T180007200,49.815844,25.251507,47.032948,8.305007,0.917640,NaN,NaN,NaN
20200201T180007300,49.829521,25.264457,47.032948,8.305008,0.965880,NaN,NaN,NaN
20200201T180007400,49.840456,25.262452,47.032948,8.305008,1.007640,NaN,NaN,NaN
20200201T180007500,49.851392,25.260448,47.032948,8.305008,1.019520,NaN,NaN,NaN
20200201T180007600,49.850022,25.252971,47.032948,8.305007,1.029960,NaN,NaN,NaN
20200201T180007700,49.836345,25.240022,47.032948,8.305007,1.017360,NaN,NaN,NaN
20200201T180007800,49.826780,25.249503,47.032948,8.305007,0.946440,NaN,NaN,NaN
20200201T180007900,49.826780,25.249503,47.032948,8.305007,0.808920,NaN,NaN,NaN
20200201T180008000,49.834975,25.232545,47.032948,8.305007,0.696240,NaN,NaN,NaN
20200201T180008100,49.856846,25.228536,47.032948,8.305007,0.600840,NaN,NaN,NaN
20200201T180008200,49.889654,25.222523,47.032947,8.305007,0.565920,NaN,NaN,NaN
20200201T180008300,49.937508,25.236936,47.032947,8.305007,0.651240,NaN,NaN,NaN
20200201T180008400,49.974427,25.253353,47.032947,8.305008,0.757440,NaN,NaN,NaN
20200201T180008500,50.018170,25.245336,47.032946,8.305008,0.865800,NaN,NaN,NaN
20200201T180008600,50.066024,25.259749,47.032946,8.305008,1.022760,NaN,NaN,NaN
20200201T180008700,50.083785,25.233309,47.032946,8.305008,1.115640,NaN,NaN,NaN
20200201T180008800,50.094720,25.231305,47.032946,8.305008,1.182960,NaN,NaN,NaN
20200201T180008900,50.104286,25.221824,47.032945,8.305008,1.232280,NaN,NaN,NaN
20200201T180009000,50.112481,25.204865,47.032945,8.305007,1.254600,NaN,NaN,NaN
20200201T180009100,50.137093,25.215810,47.032945,8.305008,1.262880,NaN,NaN,NaN
20200201T180009200,50.135723,25.208334,47.032945,8.305008,1.194120,NaN,NaN,NaN
20200201T180009300,50.128898,25.232769,47.032945,8.305008,1.066320,NaN,NaN,NaN
20200201T180009400,50.126157,25.217815,47.032945,8.305008,0.928800,NaN,NaN,NaN
20200201T180009500,50.182234,25.277090,47.032945,8.305009,1.009800,NaN,NaN,NaN
20200201T180009600,50.376448,25.473336,47.032944,8.305012,1.524960,NaN,NaN,NaN
20200201T180009700,50.533716,25.591344,47.032942,8.305013,2.116080,NaN,NaN,NaN
20200201T180009800,50.700577,25.761692,47.032941,8.305016,2.840040,NaN,NaN,NaN
20200201T180009900,50.930366,26.028698,47.032939,8.305020,3.929400,NaN,NaN,NaN
20200201T180010000,51.082235,26.302259,47.032939,8.305024,4.936320,NaN,NaN,NaN
20200201T180010100,51.380353,26.510373,47.032936,8.305027,6.114600,NaN,NaN,NaN
20200201T180010200,51.826117,26.722338,47.032933,8.305031,7.727400,NaN,NaN,NaN
20200201T180010300,52.109216,26.971845,47.032931,8.305035,9.108720,NaN,NaN,NaN
20200201T180010400,52.429205,27.175951,47.032928,8.305039,10.444680,NaN,NaN,NaN
20200201T180010500,52.946094,27.467617,47.032924,8.305044,12.112920,NaN,NaN,NaN
20200201T180010600,53.294834,27.766918,47.032921,8.305048,13.122000,NaN,NaN,NaN
20200201T180010700,53.666789,28.007868,47.032919,8.305052,14.032800,NaN,NaN,NaN
20200201T180010800,54.185048,28.307011,47.032914,8.305057,15.225480,NaN,NaN,NaN
20200201T180010900,54.555633,28.540484,47.032911,8.305061,15.812640,NaN,NaN,NaN
